Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
202819,B000EDG430,A3MN7BV26H5QUA,"Angela E. ""Gluten-Free Mom""",2,2,5,1310860800,Gluten Free Perfection with Slight Recipe Modification,"My two sons and I are on a strict gluten free diet since being diagnosed with celiac disease a couple of years ago. I have tried many different bread mixes, but this is everybody's favorite after having perfected the recipe a bit.<br />I use the gluten free cycle on my Breadman Pro machine (total time 1 hour 18 minutes). Originally the main problem with the bread was that it would rise to the top of the machine but after removing it from the pan it would partially collapse towards the sides, ending up with an hour glass shape. After trying several remedies, I discovered that the best way to prevent this partial collapse from happening was to wait for the end of the gluten free cycle and then bake the bread on the bake cycle for an additional 20 to 30 minutes. Once you do this, you can remove the bread and it maintains its shape and is fluffy and delicious.<br />A few other suggestions that I would make:<br />* Use coconut milk (SO Delicious Coconut Milk Beverage)  instead of water or milk<br />* Use olive oil instead of regular oil<br />* Use three eggs (instead of one egg and egg whites), then add an extra tablespoon of olive oil for extra fluffiness<br /><br />If you follow these steps, you will have fluffy, moist, delicious bread baked to perfection. Enjoy!"
43625,B007TGP9NQ,A40UZ043XXOE2,Jim California,0,0,5,1350864000,Excellent Flavor,Excellent blend of an Italian and Japanese flavors. I use this as the seasoning for my party dip. Great on tofu also! I look forward to trying Angel Pietro Shoyu Dressing.
396353,B0012TYZ4K,A3EGHMES7U169S,Zar,0,1,2,1236038400,'Texas Taffy' Treats not safe.,I recently bought this Merrick assortment bag. My dogs loved the Texas Taffy ones but proceeded to throw them up in splintered pieces shortly after eating them. The rest of the treats seemed okay but I don't feel the taffy ones are safe.
337104,B001EQ5FPE,AH1ZLG3O4VF2J,Roberta Cadwalader,0,0,5,1341446400,great wonderful,I wanted this product to make Pistachio gelato.  It was wonderful.  It was tasty and made my gelato smooth instead of probable grainy taste with ground pistachios.  I am not sure when I will use it again.  I am interested in other uses for it.
296408,B003C5SOCQ,AUPT8NBXVWLT6,James H,2,2,5,1336780800,Best fiber ever!,"Fiber is good for you and I don't get enough of it in my typical diet.  The obvious solution is to take fiber supplements but I HATED those chalky, nasty things.  Then I found these!  Fiber gummies that actually taste good (even the no sugar added ones) and I actually enjoy eating.  When I first got them I actually ate too much fiber unintentionally because I suddenly didn't hate taking the supplements.  Plus, check this out, 2 tablets of the nasty, chalky ones generally have 4 grams of fiber.  But 2 tasty gummies have 5 grams.  These are awesome, if you need more fiber you can't possibly go wrong here.  One thing to note, their shelf life isn't fabulous and they start getting a bit too stiff and chewy if you keep them around 2-3 months or longer.  In other words, do buy them but don't stock up in bulk."
84425,B000ETAJZ8,A2ZBJC1HMSHRZK,Chet,0,0,5,1269820800,Great stuff!,"These Mi-Del Pecan cookies are excellent!  They are, like all gluten free stuff pretty hard (like trying to eat a poker chip) but if you dunk them in coffee, milk or (I use) Root Beer they soften up nice and taste great!"
540133,B003DVKBK2,A7RFDGVXDYQLJ,"JJ ""avid reader""",2,3,5,1318291200,Love this sugar!,I love sweet tea but gave it up because of the sugar content & I don't like the aftertaste of other sweeteners.  Ideal has no aftertaste & sweetens just like sugar.  I use it in my drinks and in cooking.  5 stars definitely.
20560,B003PFUNU4,A2ID7H6SRK5XS0,"R. Johnson ""Rich""",1,3,5,1300060800,DON'T LEAVE HOME WITHOUT ONE,"THE TORANI DRINK FLAVORING SYRUPS ARE AWESOME IN SODA, COFFEE, ETC. ALSO ON ICE CREAM,AND APPLESAUCE. JUST BE CAREFUL THAT YOU DON'T OVER DO THE AMOUNT PER DRINK AS THE SYRUP IS HIGHLY CONCENTRATED. WE HAVE THE 'SUGAR FREE' PACK AND THE FLAVORS ARE EXCEPTIONAL, ACCURATE AND DELICIOUS."
354660,B0030KLW0Y,A35KEIGW8YPPL0,Shannon B.,1,1,5,1342396800,Excellent Hot Sauce,"My husband really enjoyed this hot sauce on a recent trip to Belize, and was excited that we could get it online.  It was really well-packaged, too, so the glass bottle shipped safely."
163024,B0032YGNMA,AJSRB3GD1AGTU,J. Latham,1,1,5,1296086400,"Gourmet Salts,","I bought this collection for a friend for Christmas. He LOVED it - I think he tasted every one and passed out tastes right then and there. The rack is nice - not fancy, but nice. The test tubes are generously sized and can be re-used when the salt is gone. A great and novel gift for the right person."
144193,B000BBY7YS,ANTF9I2YYPCLD,olddigger,2,2,5,1273536000,"Great company, great flowers",I inadvertently gave the wrong delivery address for my mom's Mother's Day flower bouquet delivery. The flowers were delivered on the Friday before Mother's Day as promised but were delivered to a house down the block. The fine folks that lived there kept the flowers and made no attempt to get the flowers to my mother. Mom was able to retreive the flowers four days later and she said the flowers were beautiful and still in good condition. Falcon Farms offered to send another bouquet at their expense but mom said the original ones were fine. Falcon Farms refunded the full FedEx delivery charge at their own volition. I will definitely use this vender again.
80650,B001NG541K,ALQ1IOR2SDKQT,"MJ ""coffee keeper""",0,0,5,1255046400,everybodys favorite,"the whole office seems to favor this coffee, enough flavor to make it stand out from regular but not overpowering"
410556,B001HKZZ7A,A35R32TA60XD57,M. Torma,0,0,5,1290470400,Good full bodied coffee!,"I just got this yesterday and my husband and I both tried it this morning.  We both felt that it makes a very full cup of coffee, not terribly complex in structure, but still very good.  I was surprised with the fullness because of it being a medium roast.  Don't let that fool you though because it behaves like a dark roast.  I do think I like the black tiger better though because I can get the fullness and a little more complexity in the same cup.  I would get this again though because of the richness it offers without the slightest bitterness."
189749,B001EO5Q64,AGCPRHBG7KIEJ,horsegurl16,0,0,5,1291334400,Tastes great!,I love this coconut oil. It adds a great coconut flavor to baked goods. I love the coconut smell when I use it as lotion or hair conditioner. Tastes good and so healthy for you too! Good bargain when you get free shipping through Amazon.
44334,B000GKTNXE,A18SKYP4FG4W1F,Mary Ann Walker,0,0,5,1331424000,Mom's Chocolate,The product arrived fresh and tasty. It was ordered for my mom but she was terminally ill & did not get to eat any. I shared it with other family members in her memory. Thank you Amazon for helping me get what my mom requested when I wasn't able to leave her to shop.
534964,B005PXZ6JM,A3AEY7ED5KINO2,Jayne Silver,2,2,2,1330646400,They worked really well until they started leaking,"I have used these bags for the past 6 months. I used to love them and liked that they are biodegradable, but the last box I bought contained a lot of damaged bags. I thought it was one bad batch, but it keeps happening with bags from different batches. I have lost over 30 ounces of breast milk in the past month and one day didn't have the regular amount to send with my son to daycare. Breastfeeding mamas know the devastation of losing even an ounce can cause so losing this much has been beyond upsetting.  I caution you to be very careful when using these bags for milk storage."
289762,B00124VRPU,A3TPY3X0H7EFUQ,Peggy,7,7,5,1296691200,Great Gum!,I ordered this gum in hopes of finding a healthier gum that tasted good and I was not disappointed. Around the same time I ordered some Peelu gum and was extremely disappointed in that. The Xyloburst is so much better. I would recommend it to anyone looking for a healthy gum to chew!
125131,B000NY8OLK,A27OLP4V9EIRZI,Ernest Carroll,3,3,1,1305763200,Ruined a perfect thing.,I posted Lindt a letter at their site and then saw that all these reviews voice my sentiments exactly.  The new bar is pitiful.  Bring back the perfect chocolate bar.
194904,B000CRFORU,A18XKZZFT6WG8W,"N. DEAN MCAFEE ""lastdogbarking""",0,0,2,1310169600,It's not the same,"Think Thin has changed their packaging (no big deal) and unfortunately their bars (big deal). I don't believe the quality problem was due to shipping as I have ordered through Amazon before and been very pleased with the product. On this occasion, the bars were chalky and dry and maybe it's my imagination but I didn't feel they tasted like that last year (old packaging). I will not order Think Thin Creamy Peanut Butter again... but I may give Chunky Peanut Butter another shot."
502697,B003FDFXLA,A13FG3ZR8VUD1S,Tammy L. Dalton,0,0,5,1333584000,loving quantity purchases,"I use alot of this product, I'm thankful not to have to purchase lots of small containers.  That is too much wasteful plastic."
378671,B000E6728S,A11NOXIBYIZKDM,pondscum,0,0,5,1260057600,favorite chai,"This is my favorite chai flavor of all the different brands I've tried.  It doesn't really taste like coconut, but....  it's good nonetheless."
448295,B005BHDJUA,A384DWG6PO3ODC,R.Garbero,0,0,1,1338854400,Too Salty,I really wanted to like these cookies. I saw them advertised on Dr.Oz and decided to try them. They are just too salty. I ate a couple and had to throw them out. Just not worth it.
25666,B0015R9BQG,A2AF1JZ62BOBHV,"Lori L. ""MomsNightOff""",0,0,5,1189468800,Delicious and chewey,"This really satisfied my yen for a tasty protein snack, and I am going to try some of the other ones as a result.  This one is quite tasty with a nice balance of flavors."
48104,B004SRH2B6,A1I0N6LEPYLW5A,C. Rodas,0,0,1,1285200000,There are two! from concentrate and not from concentrate,"I haven't had a lot of experience with zico, but I have seen lot of reviews saying that they switched to concentrate. With little research, I found that the one in the 11.2 ounce carton thing is not from concentrate. Sure, I can agree based on sheer numbers that this coconut water sucks, but the other one does exist in case some of you still care."
184264,B005OPQJSS,A17XNEZNY54OOF,kerry,0,0,5,1347408000,Four cats and this is their favorite!,"I know cats are picky eaters but Fancy Feast Appetizers with white meat chicken and tuna is the favorite of my four.  I'm not tossing out cat food at the end of the day, horray!  I've also joined Amazons program where Fancy Feast is delivered to my door once a month, it's cheaper than buying their Fancy Feast at the grocery store and I always have a supply of their favorite cat food on hand, Amazons home delivery is fantastic."
238802,B002GWH4S6,A2N3DPMEBNP4PK,Photohombre,13,14,5,1281744000,Coffee Treat,"I'm a long time coffee junkie.  I think I had my first cup when I was five or six years old.  One of my most potent memories as a child growing up in New York was going to Schraffts or Chock Full 'O Nuts to enjoy a cup of coffee, New York style.  I've gone from stove top percolated pots to electric pots to camp-fire brewed to drip machines. And I must include several years of ""chow hall"" coffee while in the military.  I've been using whole beans for many years and even spent a few years roasting my own beans.  In all, some sixty years of varied levels of products & as varied means of delivery.  Then a friend recommended Yirgacheffe.  Now I cannot compare Coffee Bean Direct's Yirgacheffe product to other roasters but I can say, without exception, this is one fine tasting coffee.  Two cups, prepared with a French press, and my day begins in a most positive way.  The price is right, the quality is outstanding and the taste - well you have to try it for yourself.  Do yourself a favor, you'll enjoy the flavor.  Coffee Bean Direct has a winner with this coffee."
20902,B001EPPCFS,AEO1L073HMSPQ,"Marshall's Sauces ""Marshall""",0,0,5,1253577600,Excellent,"Excellent product, slightly different than anything available in the U.S. Digestives Biscuits (cookies)are only slightly sweet with a wheat-malt kind of taste.  They are super with a cup of PG Tips tea and a biscuit I would recommend along with other McVities products for informal entertaining.  One warning! OK two.  If you use a Digestive (the name doesn't do it justice) to dunk in your coffee or tea, be QUICK!!! They are actually light and crisp and soak up liquid faster than a Bounty Paper Towel. You'll be fishing out big chunks of soggy cookie.  I've somewhat mastered the art of being a Digestives dunker, but once in a while I have to get a spoon.  The McVities come in three flavors (or flavours) plain, with milk chocolate coating and one with dark chocolate coating.  ALL ARE GOOD! Warning number two: My problem is once I open a packet of McVities, they usually don't last the whole day, even if I'm home alone. They are that good."
46950,B0018S09T0,A222KTBWIHF1Z0,"Leslie G. Renschler ""retro 36""",0,0,5,1273795200,use it for blood sugar control in my diabetes diet,I use Dreamfields pasta as a means to control my blood sugar.  It is and excellent product and tastes as good as the real pasta but without the digestible carbs that real pasta has.  If you have diabetes this is a good product to use in lieu of real pasta.
221103,B0041CD2PS,A2URVI4H8U58PW,xblam,1,1,5,1309219200,Delicious and easy to make,"I first tasted this at a food show and wanted to try it home with my friends. The process was pretty simple. Boil water and add the packets provided. All I really had to do was add the vegetables, and VOILA! Dinner for 5! I'm glad I was able to find this product on Amazon."
311784,B000EVG8H4,A1KFWI7SGVPO8G,OutdoorRED,1,1,5,1296345600,"Best GF bread, period","Hands down the best Gluten Free bread I've experienced since I've been gluten-free.  It's fluffy, can be eaten without toasting.  I finally can enjoy a sandwich again, even cold!"
176463,B0096ENRRO,AH25WL29I7RZI,fdlake,0,0,5,1347235200,"Tea to enjoy, hot or cold","We had the opportunity to sample Adam Tea. May favorite is Black Tea.  My wife loves the Peach Tea.  We both enjoy either both hot and cold.  My wife could be a tea aficionado as she is very particular about flavor.  We both enjoy a robust, flavorful, fresh tasting tea.  Adam Tea fills that desire for a wonderful bold clean flavor.  The Black Tea has a unique flavor almost like coffee except lighter and healthier or better for you."
316436,B002ATCFX4,A2NOP6ZYA11OYO,Adam,0,0,5,1333929600,AMAZING,"This hot sauce is GOOD!<br /><br />I am a chili head with over 30-40 different ""active"" hot sauces and much more used and in storage. This sauce is one of my favorites. The sauce really works off of the heat and flavor of the ghost pepper and does not try to mask it like many other naga jolokia sauces. It is very spicy though and would only recommend to serious chili heads who like a great heat and great flavor."
312770,B0008IT3YS,A1IBAXVEJ38KQD,bobthedog,11,11,5,1290729600,Alco*licious*!,"I used to get these in the smaller 7oz. boxes - but y'know, you can't *eat* as MANY of them that way, so I recommend these larger, more heavy boxes, with more Chocolate and more Brandy in them...<br /><br />Alright people, what does it take?  It's Chocolate + Brandy!!!!!  If you are dead to the world then perhaps it will need further review, but I think not...  After all, you are a highly literate person of good taste and strong moral character and did I mention that IT'S *CHOCOLATE* AND *BRANDY*?!?!"
438770,B005HGAV8I,AVHM55IZI3A53,nmojica,0,1,1,1327708800,False Advertisement,I just received my shipment and I am greatly disappointed.  I did not get any of the advertised flavors instead I got a few Dunkin Donuts flavored coffee.  The majority of the K-cups were Dunkin Donuts regular and decaf coffee.
157313,B0019QT66I,A3AGNSUSDXX21K,K. Lee,1,1,5,1321142400,Great Product,I love this supplement! It has helped me with stress and to improve the quality of my sleep. I feel that it also helps with muscle aches after working out.
221594,B004LM46EO,A49NKSU3XUX5O,Rhianna Boisvert,3,3,5,1333670400,Wonderful Coffee!,"I agree with another reviewer - this is excellent coffee! I have a Keurig also and bought an EZ-cup from Amazon to put the pod in, which works beautifully! I now visualize myself back in Hawaii, sitting on my lanai, and drink my delicious Reunion Island Kona! I just discovered Reunion Island coffee, but will be a steady customer. Highly recommended! Mahalo!"
349817,B000LKUXGU,A3PUCV9FCTG4ZJ,"Donald Blakely ""Andie &#34;hopeful vegan&#34;""",2,2,5,1208736000,Satisfying,"<a href=""http://www.amazon.com/gp/product/B000LKUXGU"">Camel Halvah Bar, Chocolate, 3-Ounce Bars (Pack of 20)</a><br />These bars are great and difficult to find in US.<br />I used to buy them in Canada and now I don't have to drive there, thanks to Amazon.com<br />Good prices also.<br />My favorite is the chocolate coated."
510795,B000PILF24,A17X525NISUCFW,GaryR,0,2,1,1343001600,White Tea,Should have known better as 100 tea bags for $9.00 seemed awfully low. This white tea cannot compare to some of the brands available where 20 tea bags cost around $4.00. Does not even taste like a quality white tea. After 10 cups will not use any more.
555096,B002DW4R9S,A12P5OLLOSZRBX,Megan,2,2,5,1313107200,Necessary Food,"Our kid loves ""binding"" bananas which means he must be willing to also love ""loosening"" prunes.  Luckily he does and I've got a case of these on subscribe and save.  I've tried them myself and they are pretty yummy [for prunes]."
335591,B001652LXC,A2WST5J71WIX5X,Mimi,7,7,5,1269907200,coffee,"The pre-measured bags make it so easy to make a perfect cup every time. If you like it on the strong side it makes 3/4 of a pot, if you like it regular then it makes about a pot. Once you find your desired strength then its easy, you just add the same amount of water every time."
470237,B004YLD2YM,A29DCUVTK0Q7IW,Couch Cutie,0,0,5,1339804800,Tasty Son of Black Cow,"Rich, buttery, chocolatey taffy that's soft and chewable - it can be eaten in bites! So delicious my family buys it by the 24 count box, which somehow still doesn't seem to be quite big enough...<br /><br />NOTE: Original Black Cow bars were very hard Slo Poke caramel bars on sticks dipped in a chocolate flavored coating. In contrast, this candy is a soft chocolate caramel that although it has a different flavor than the original is simply wonderful."
202207,B001ET6XRA,AS0E6W9I2CGCI,The Next Donna Karen,4,4,5,1229299200,Awesome,"This product rocks. At first I was hesitant to use it because I did not know if it was going to work on my african american hair. But I did!!! It makes my hair incredibly soft, bouncy, shiny, and somewhat mosturized, in my opinion. I love this product better than mine chi thermal protection spray. Another added bonus would have to be the design of the spray bottle, scent, and the non sticky feel of the spray. A must have for anyone who used flat irons, curl irons, curlers, etc."
114348,B0049D3YTS,A3FVPSMEOZVC6N,Kathy Stainbrook,0,0,5,1344902400,cereal,I really appreciate being able to purchase a gluten free flavorful product that comes at a reasonable price! Thank you for the prompt delivery & high quality cereal when there's not a lot of choices in the local super markets.
330691,B001SAWKCM,A8CMMIMLDT7N5,Spider,1,1,5,1266624000,Best Mustard,"This is the greatest mustard for many applications.  Unfortunately I have a hard time finding it were I live, so bought through Amazon.  As I live in Canada the shipping charges were a bit steep, however worth it..."
304583,B000V228IO,A16QHV5W1ROIDR,M. Rosenstiel,8,9,1,1211587200,salt overload !,"this is a good buy for the size , but beware this is the salties olives I have ever tried to eat , I ended up giving them away . on a scale of 1 to<br />10 for saltiness these are with out a doubt a 10."
69893,B002GWMEMM,ALWL0AJ94O8RJ,RJ,0,1,1,1302998400,No Flavor,"I wanted to try a decaf Colombian coffee to reduce my caffeine intake but enjoy a good Colombian coffee. I have tried roasted coffees but they were roasted too dark. So, I decided to roast my own. The roasting process went well, but when I made a pot of coffee from the ground beans it was flavorless. I tried adjusting water (I only use filtered water.) and beans but have not been able to make a good cup of coffee from the beans.<br /><br />I do not recommend this product as a good decaf solution."
515316,B00181RR8S,A3EYU50UGU83WT,"mhartel ""mh""",0,0,5,1297728000,2nd best black apple tea I could find,"this is my 2nd favorite black apple tea after Fauchon black apple tea, which is hard to come by, even in NYC."
444682,B000SP1WX6,A1SY0X22E5NDNW,Mark Gordanier,1,1,2,1290556800,Not the special product that it used to be.,"This used to be the coffee product that set the standards.  Nah.  Not anymore.  The regular brands at the grocery store got their act together and now they are just as good as this for a fraction of the price.  I saw a special on Discovery Channel and they confirmed that Hills Bros, Folgers, etc, have all stepped up their quality.  Good company to buy from.  Prompt service - no hassle."
146641,B001PMCFMS,A3CEYHGS1K9Q2,Mrs. Wanda B. Morgan,0,0,1,1322179200,My dogs don't like them,"I bought a whole bag (pack of six bags) of these for my two little dogs--a Shih-tzu and a Shorkie, and they sniff them and walk away."
296838,B003LJ95GC,A1JTXQV82AF6C6,CreativeGourds,0,0,5,1345593600,"Buendia by Juan Valdez, Columbian Freeze Dried Coffee","We are doing some long term camping and so I can no longer use an electric coffeemaker.  I have never used a perculator, and so had to switch to instant coffee, much to my chagrin..... UNTIL, that is, I discovered Buenda by Juan Valdez.....YUM!  I may never return to ground coffee.  Give this a try, folks - it is truly delicious."
198388,B000X2NEGC,A1DAHEMI1GJX3O,Virginia I. Labella,2,2,5,1260144000,The real deal,"My husband and I first purchased this exact same vinegar at the factory/shop in Castelvetro di Modena, the tiny town in Italy where the vinegar is made. We were able to taste the various grades (ages) of vinegar right there in the shop, and this ""mid-grade"" version was actually our favorite. Back home, when we were near the end of the bottle, I researched online to see if I could find the same vinegar, as we were spoiled and knew that now no other balsamic would substitute. I was overjoyed to find it was available via Amazon! This vinegar is a perfect balance of sweet and sour. The maker described it as ""everyday"" meaning the one you would use for salads and such. It is not as sweet or thick as the older versions, but sweeter and thicker than standard versions typically available in US supermarkets. I like to give house guests a taste test, starting with a tiny taste of a standard store brand that I previously thought was quite good, and then a taste of the La Vecchia Delspensa 10 yr. We also have a bottle of 20 yr from this maker, so I cap the taste test off with that. The differences between all three are dramatic. The store brand just doesn't compare at all. The 20 yr is syrupy and tastes of currents or raisins. To me, the 10 yr is ""just right""."
142226,B005FH3XCA,A1OR89BVQ55DGI,mmunroe,1,1,5,1336435200,Multi-Seed Crunchmaster Rules,"I first discovered this product in an in-flight meal prepared by Go Picnic. My girlfriend is gluten intolerant but I am not but this is a cracker we both enjoyed very much. There are many ""multi-x"" products but this is ""multi-seed"" and has better flavor and more crunch than the others."
521076,B000I6PY4I,A3KQUI048BBXX,"K. A. Helschien ""Disapointed""",2,2,5,1198454400,Rich full flavor,"I love hazelnut coffee and Coffee Master delivers on it's promise. Rich, flavor-full, with a great aroma. Far above what you can get in a local market. Good job Coffee Masters."
253076,B0018CDUKQ,AC5J8U94ZMVQN,"Alice ""Liz""",0,3,2,1319414400,My dog vomits after eating this food,"My dog is allergic and my vet suggested to change its food. After reading the ingredients of this product, I thought it would be a good option. When the product arrived, I mixed it with his previous food to make it a gradual change but my dog only ate the previous food. Maybe he didn't like the taste. I had to feed him in the mouth but he vomits it. The first time this happened I thought it was maybe due to anything else so I feed him with Nature's variety food again and he did vomit again. I just wasted my money and my poor dog had a hard time with this food."
27207,B004IN7E0O,A39B6LAYBCL5SI,"RAMZ ""RAMZ""",0,0,5,1324425600,"As presented, quick ship. Thank you.","As presented, quick ship. Thank you. Cat loves them. The crunchy ones are much better for their teeth (so the vet tells me) :)"
122587,B0001I1HFS,A1LSIKPMKN4VIO,anita sedlon,1,1,5,1281657600,Love it! Love it!!,"My daughter, my good friend and I visited NYC this past summer and my friend convinced us to go to Serendipity3.  We are so glad she did.  Two of us had the frozen hot chocolate (decadently delicious) and I broke tradition and went with the Trader Wic #1. A pineapple coconut frozen concoction equally decadently delicious. In fact it was so good we made a point of stopping by again for the wonderful desserts before we left for home. I was smart though, on my way out I bought the canister of frozen hot chocolate and have converted the rest of our family to frozen hot chocolate lovers.  So glad I can buy this online although shipping is pretty pricey it is well worth it.  Wish they would sell the Trader Wic #1 online too."
54492,B001TLY7A8,A1S7O0AY4KN9ZJ,OSHmomy,0,0,5,1280966400,Chesie loves chicken,My OSH loves this food.  I can try to slip in something else and she won't touch it.  It always looks and smells the same--so it is very dependable.  Chesie is a picky eater so the food has to be good.
404370,B001EQ5JMS,A3BAHQIZEB61YX,Lula,2,2,5,1328140800,Cuban Coffee in Mississippi,"I love Pilon cuban coffee! I'm from Miami, FL and just moved to rural Mississippi recently and can't find it here anywhere! Please do something about that. LOL. In the meantime I'll order form Amazon.com so I can have it in the morning before work and at lunchtime and after dinner. There's some things a Miami girl can't live without, and Pilon is definitely one of them. It's the best coffee in the whole world, hands down.<br /><br />Lula"
